"","Title","Revenue","logRev","N_Theaters","logThea","Release_Date","Inception","No_Article","Views60","Users60","Rigor60","Edits60","Views50","Users50","Rigor50","Edits50","Views40","Users40","Rigor40","Edits40","Views30","Users30","Rigor30","Edits30","Views20","Users20","Rigor20","Edits20","Views10","Users10","Rigor10","Edits10","lV60","lU60","lR60","lE60","ldV50","ldU50","ldR50","ldE50","ldV40","ldU40","ldR40","ldE40","ldV30","ldU30","ldR30","ldE30","ldV20","ldU20","ldR20","ldE20","ldV10","ldU10","ldR10","ldE10","Wide_Release","is_sequel","is_3D_or_IMAX","Fri_Sat","in_Summer","Federal_Holiday","N_Other_Rel"
"255","The Perfect Game",511698,13.1454898862454,417,6.0330862217988,2010-04-16,1184,0,158886,106,111,175,161914,104,112,176,165196,109,114,181,169367,106,119,187,176499,117,123,192,185386,122,126,197,11.9759485367173,4.67282883446191,4.71849887129509,5.17048399503815,8.01598781102724,0,0.693147180559945,0.693147180559945,8.09651291750159,1.79175946922805,1.09861228866811,1.79175946922805,8.33615081612066,0,1.79175946922805,1.94591014905531,8.87248718227804,2.484906649788,1.6094379124341,1.79175946922805,9.09245733131947,1.79175946922805,1.38629436111989,1.79175946922805,0,0,0,1,0,0,9
"256","The Red Chapel",2459,7.80751004221619,1,0,2010-12-29,331,0,7708,10,10,12,8098,12,11,15,8451,13,12,16,9056,13,12,16,9542,13,12,16,9986,13,12,16,8.95014375645926,2.39789527279837,2.39789527279837,2.56494935746154,5.96870755998537,1.09861228866811,0.693147180559945,1.38629436111989,5.86929691313377,0.693147180559945,0.693147180559945,0.693147180559945,6.40687998606931,0,0,0,6.18826412308259,0,0,0,6.09807428216624,0,0,0,0,0,0,0,0,0,3
"257","The Romantics",45527,10.7260608355364,2,0.693147180559945,2010-09-10,309,0,75321,33,36,58,79488,33,36,58,84984,33,36,58,95216,37,38,61,110255,43,41,65,125723,43,43,67,11.2295275357908,3.52636052461616,3.61091791264422,4.07753744390572,8.3351915834332,0,0,0,8.61195776786066,0,0,0,9.23337307108675,1.6094379124341,1.09861228866811,1.38629436111989,9.61846859750383,1.94591014905531,1.38629436111989,1.6094379124341,9.64659330023667,0,1.09861228866811,1.09861228866811,0,0,0,1,0,0,8
"258","The Runaways",805115,13.5987404033404,244,5.4971682252932,2010-03-19,269,0,511482,58,68,123,559736,59,74,129,602687,68,81,137,628639,68,81,137,657892,74,84,141,712903,79,91,152,13.1450696282399,4.07753744390572,4.23410650459726,4.82028156560504,10.7842547283412,0.693147180559945,1.94591014905531,1.94591014905531,10.6678384921024,2.30258509299405,2.07944154167984,2.19722457733622,10.1640424888485,0,0,0,10.283771595447,1.94591014905531,1.38629436111989,1.6094379124341,10.9153066222346,1.79175946922805,2.07944154167984,2.484906649788,0,0,0,1,0,0,6
"259","The Secret in Their Eyes",167866,12.0309213210705,10,2.30258509299405,2010-04-16,198,0,20452,35,43,89,24467,35,43,89,29199,37,48,99,63023,73,90,157,69239,86,106,187,74618,89,115,200,9.92588484997817,3.58351893845611,3.78418963391826,4.49980967033027,8.29804166137157,0,0,0,8.46231452990625,1.09861228866811,1.79175946922805,2.39789527279837,10.428955453039,3.61091791264422,3.76120011569356,4.07753744390572,8.73504275426934,2.63905732961526,2.83321334405622,3.43398720448515,8.59044365315583,1.38629436111989,2.30258509299405,2.63905732961526,0,0,0,1,0,0,9
"260","The Secret of Kells",39826,10.5922752443186,1,0,2010-03-05,833,0,21226,31,35,84,22166,31,35,84,22912,31,35,84,30999,37,39,93,47669,42,46,103,56994,46,50,107,9.96302923524444,3.46573590279973,3.58351893845611,4.44265125649032,6.84694313958538,0,0,0,6.61606518513282,0,0,0,8.99813676070031,1.94591014905531,1.6094379124341,2.30258509299405,9.72142596194803,1.79175946922805,2.07944154167984,2.39789527279837,9.14056147736827,1.6094379124341,1.6094379124341,1.6094379124341,0,0,0,1,0,0,2
"261","The Social Network",22445653,16.9266075231142,2771,7.92696354486298,2010-10-01,383,0,632148,165,202,304,737268,177,220,331,836055,178,226,340,936793,200,240,357,1082610,204,251,368,1333456,224,270,394,13.3568804048358,5.11198778835654,5.31320597904179,5.72031177660741,11.5628673466108,2.56494935746154,2.94443897916644,3.3322045101752,11.5007314188695,0.693147180559945,1.94591014905531,2.30258509299405,11.5202882927068,3.13549421592915,2.70805020110221,2.89037175789616,11.8901145477267,1.6094379124341,2.484906649788,2.484906649788,12.4325984705026,3.04452243772342,2.99573227355399,3.29583686600433,1,0,0,1,0,0,8
"262","The Sorcerer%27s Apprentice",17619622,16.6845237253478,3504,8.16166045205628,2010-07-14,1074,0,519766,76,82,114,537610,78,87,119,560403,87,92,127,585009,92,102,137,613926,102,112,150,647972,118,136,188,13.1611359132181,4.34380542185368,4.4188406077966,4.74493212836325,9.78947863592426,1.09861228866811,1.79175946922805,1.79175946922805,10.0342526224157,2.30258509299405,1.79175946922805,2.19722457733622,10.1107862342885,1.79175946922805,2.39789527279837,2.39789527279837,10.2722195175881,2.39789527279837,2.39789527279837,2.63905732961526,10.4354972019692,2.83321334405622,3.2188758248682,3.66356164612965,1,0,0,0,1,0,0
"263","The Spy Next Door",9726056,16.090319027692,2924,7.98070782086967,2010-01-15,430,0,233970,92,86,138,242469,78,87,139,253998,86,91,143,262994,95,99,153,282640,100,107,162,309544,103,112,168,12.3629524550357,4.53259949315326,4.46590811865458,4.93447393313069,9.04782144247841,0,0.693147180559945,0.693147180559945,9.3527076132631,2.19722457733622,1.6094379124341,1.6094379124341,9.10464646741712,2.30258509299405,2.19722457733622,2.39789527279837,9.88567993388616,1.79175946922805,2.19722457733622,2.30258509299405,10.2000674219235,1.38629436111989,1.79175946922805,1.94591014905531,1,0,0,1,0,0,4
"264","The Strange Case of Angelica",7499,8.92252495730139,1,0,2010-12-29,-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"265","The Switch",8436713,15.9481033357386,2012,7.60688453121963,2010-08-20,550,0,229794,58,54,88,235175,56,55,89,238877,57,56,90,248735,61,60,94,266270,59,62,96,299287,68,70,106,12.3449428861096,4.07753744390572,4.00733318523247,4.48863636973214,8.59081533128685,0,0.693147180559945,0.693147180559945,8.21689858091361,0.693147180559945,0.693147180559945,0.693147180559945,9.19614002257504,1.6094379124341,1.6094379124341,1.6094379124341,9.77201118974774,0,1.09861228866811,1.09861228866811,10.4048081462878,2.30258509299405,2.19722457733622,2.39789527279837,1,0,0,1,1,0,4
"266","The Taqwacores",3532,8.16961956172385,1,0,2010-10-22,218,0,3499,4,5,8,3735,5,6,11,4008,7,8,14,4221,7,8,14,4532,7,9,15,5217,8,10,16,8.1605182474775,1.6094379124341,1.79175946922805,2.19722457733622,5.46806014113513,0.693147180559945,0.693147180559945,1.38629436111989,5.61312810638807,1.09861228866811,1.09861228866811,1.38629436111989,5.36597601502185,0,0,0,5.74300318780948,0,0.693147180559945,0.693147180559945,6.53087762772588,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0,1,0,0,2
"267","The Tempest",42436,10.6557523375792,5,1.6094379124341,2010-12-10,740,0,246265,63,67,97,265915,69,75,107,280567,70,77,109,295653,71,78,110,312901,71,81,114,329129,72,82,115,12.4141675315429,4.15888308335967,4.21950770517611,4.58496747867057,9.88588350658777,1.94591014905531,2.19722457733622,2.39789527279837,9.59240037163802,0.693147180559945,1.09861228866811,1.09861228866811,9.62158872484008,0.693147180559945,0.693147180559945,0.693147180559945,9.75550944976463,0,1.38629436111989,1.6094379124341,9.69455504431588,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0,1,0,0,6
"268","The Temptation of St. Tony",747,6.61606518513282,1,0,2010-09-17,346,0,1960,3,3,4,2085,3,3,4,2228,3,3,4,2338,3,3,4,2453,3,3,4,2586,4,4,5,7.58120982619635,1.38629436111989,1.38629436111989,1.6094379124341,4.83628190695148,0,0,0,4.969813299576,0,0,0,4.70953020131233,0,0,0,4.75359019110636,0,0,0,4.89783979995091,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0,1,0,0,6
"269","The Thorn in the Heart",5173,8.55120807000351,1,0,2010-04-02,318,0,8631,1,1,2,8981,1,1,2,9271,1,1,2,9522,1,1,2,9889,1,1,2,10478,1,1,2,9.06323150693797,0.693147180559945,0.693147180559945,1.09861228866811,5.86078622346587,0,0,0,5.67332326717149,0,0,0,5.52942908751142,0,0,0,5.90808293816893,0,0,0,6.38012253689976,0,0,0,0,0,0,1,0,0,2
"270","The Tillman Story",52185,10.8625503762542,4,1.38629436111989,2010-08-20,-3,1,3,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,10,0,0,0,12,0,0,0,1.38629436111989,0,0,0,1.09861228866811,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,1,1,0,4
"271","The Tourist",16472458,16.6172003320628,2756,7.92153563213355,2010-12-10,113,0,146270,49,49,76,176058,60,57,87,199903,68,66,98,227081,65,67,101,273579,70,74,108,330150,78,81,117,11.8932163445297,3.91202300542815,3.91202300542815,4.34380542185368,10.3018944768324,2.484906649788,2.19722457733622,2.484906649788,10.0793717673661,2.19722457733622,2.30258509299405,2.484906649788,10.2101998952697,0,0.693147180559945,1.38629436111989,10.7471860859679,1.79175946922805,2.07944154167984,2.07944154167984,10.9432694421404,2.19722457733622,2.07944154167984,2.30258509299405,1,0,0,1,0,0,6
